Inscrits;Nuls;Votants;Code Insee;ARTHAUD;ROUSSEL;JADOT;DUPONT-AIGNAN;ZEMMOUR;PECRESSE;LASSALLE;LE PEN;MACRON;MÉLENCHON;POUTOU;HIDALGO
494;2;421;37092;0.25;0.76;0.0;8.82;23.17;1.76;1.76;23.68;20.15;18.14;1.51;4.72
461;2;379;37093;0.28;0.28;0.28;4.75;23.46;5.87;1.96;33.52;17.6;11.73;0.28;4.95
451;3;386;37094;1.61;0.54;0.0;5.91;23.92;4.3;1.34;29.3;18.55;13.71;0.81;7.55
264;1;222;37095;1.44;0.0;0.48;4.33;19.23;6.25;0.96;23.08;18.75;24.04;1.44;6.09
426;1;356;37096;0.29;2.9;0.87;8.12;17.39;3.48;0.29;22.32;18.84;24.06;1.45;4.3
502;3;438;37097;0.71;0.95;0.24;4.96;18.68;5.91;1.65;25.77;21.04;19.15;0.95;8.74
568;5;468;37098;1.56;0.89;0.0;6.22;16.22;8.0;1.56;28.44;17.56;18.0;1.56;3.87
648;9;548;37099;0.93;0.56;0.19;7.28;21.08;7.09;0.93;25.0;20.52;16.04;0.37;4.88
304;1;262;37100;0.39;0.79;0.0;7.09;19.29;4.72;0.79;24.41;24.02;16.93;1.57;5.71
137;3;106;37101;0.99;0.99;0.99;7.92;31.68;4.95;0.99;15.84;16.83;15.84;2.97;3.95
127;1;111;37103;1.89;0.0;0.0;9.43;16.98;7.55;2.83;26.42;14.15;19.81;0.94;5.5
4162;25;3584;37104;0.72;0.69;0.09;6.38;19.97;6.09;0.66;17.11;28.13;19.2;0.97;5.75
238;2;192;37105;1.61;0.54;0.54;4.84;21.51;4.3;1.61;30.11;18.28;15.05;1.61;4.93
223;0;192;37106;0.0;0.0;0.0;4.37;23.5;8.74;0.0;20.77;12.57;28.96;1.09;4.32
231;3;191;37107;0.0;1.1;1.1;6.63;21.55;3.87;1.66;23.2;23.76;14.36;2.76;4.87
564;11;485;37108;0.42;0.64;0.21;4.46;19.53;4.88;0.64;26.33;22.72;19.11;1.06;3.74
8929;29;7362;37109;0.5;0.54;0.1;4.92;27.76;5.71;0.73;12.37;30.8;15.71;0.88;4.59
1176;8;947;37110;0.44;0.44;0.55;6.37;21.41;3.95;0.66;25.25;18.99;19.98;1.98;7.72
